endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-25T15:32:29Z	5b65f7935c431c000127ae5f	3	2023-12-25T15:32:30.054Z	R_1f9rixhyCCB3LQR	EN	R_1f9rixhyCCB3LQR	100	2	39.0584	1	1	0	5	2	4	-84.3396	163.182.35.154	2023-12-25T15:29:37Z	172	anonymous	1
2023-12-25T15:34:03Z	5dfa956b247354017ef9e5a5	1	2023-12-25T15:34:03.735Z	R_3VxSsYQFSRzrJsV	EN	R_3VxSsYQFSRzrJsV	100	3	29.5183	1	3	0	5	2	4	-95.0977	98.195.105.86	2023-12-25T15:32:49Z	73	anonymous	1
2023-12-25T15:36:52Z	657342208a2c0bd370472fd7	1	2023-12-25T15:36:52.682Z	R_17akfSkSfEp8XAZ	EN	R_17akfSkSfEp8XAZ	100	3	46.2515	1	1	0	3	2	4	-119.1034	174.31.35.80	2023-12-25T15:26:15Z	636	anonymous	3
2023-12-25T15:38:26Z	6074391ef6527366aa827f42	1	2023-12-25T15:38:27.079Z	R_1Ufzfxaa6aZZncl	EN	R_1Ufzfxaa6aZZncl	100	3	29.5443	1	1	0	5	1	4	-98.5499	136.50.138.71	2023-12-25T15:36:54Z	92	anonymous	1
2023-12-25T15:38:49Z	63e55b9998cfe6f533667161	1	2023-12-25T15:38:49.801Z	R_5X4FMczJDgnheMz	EN	R_5X4FMczJDgnheMz	100	3	29.5183	1	1	0	5	2	4	-95.0977	47.160.160.107	2023-12-25T15:37:14Z	94	anonymous	1
2023-12-25T15:39:01Z	628bdbc77a9dddcd7f4ed538	1	2023-12-25T15:39:01.626Z	R_1g8dBA4avzJHh1D	EN	R_1g8dBA4avzJHh1D	100	3	40.6764	1	1	0	4	2	4	-73.8753	172.56.162.241	2023-12-25T15:37:01Z	119	anonymous	1
2023-12-25T15:41:32Z	658742706fa6fd9a37696a1f	3	2023-12-25T15:41:32.884Z	R_3yrDpjGHRVpi1EJ	EN	R_3yrDpjGHRVpi1EJ	100	3	32.7405	1	1	0	5	2	4	-117.0935	107.223.113.96	2023-12-25T15:36:27Z	304	anonymous	2
2023-12-25T15:42:38Z	6108696dc9d16e886749e495	1	2023-12-25T15:42:38.709Z	R_5SDD1aTUfjvaFu1	EN	R_5SDD1aTUfjvaFu1	100	3	40.2363	1	1	0	5	2	4	-75.296	100.11.123.185	2023-12-25T15:41:28Z	70	anonymous	1
2023-12-25T15:45:21Z	5edb7982f3b2f87f8ef83236	1	2023-12-25T15:45:22.245Z	R_6sABcKYSvBaGZnk	EN	R_6sABcKYSvBaGZnk	100	3	25.7634	1	1	0	5	2	4	-80.1886	73.85.8.109	2023-12-25T15:43:38Z	103	anonymous	1
2023-12-25T15:46:17Z	5f12691e8427ec1bd6ba5e64	1	2023-12-25T15:46:17.951Z	R_5DuaXPCVrdiAnfy	EN	R_5DuaXPCVrdiAnfy	100	2	34.1535	1	1	0	5	2	4	-117.8457	76.89.94.82	2023-12-25T15:44:04Z	133	anonymous	1
2023-12-25T15:48:15Z	611134d4e32003c61fb64f78	3	2023-12-25T15:48:16.492Z	R_12JZrTs4W4dRk9y	EN	R_12JZrTs4W4dRk9y	100	2	38.9458	1	1	0	5	2	4	-90.2049	174.86.53.87	2023-12-25T15:43:49Z	266	anonymous	1
2023-12-25T15:48:55Z	5d46da4ae67c9400192c4343	1	2023-12-25T15:48:56.327Z	R_5cOaNcfGAkCL08F	EN	R_5cOaNcfGAkCL08F	100	3	35.1369	1	1	0	5	1	4	-106.5199	69.247.78.208	2023-12-25T15:47:13Z	102	anonymous	1
